origin_type,group,reference_filename,reference_relative_path,provisional_filename,provisional_relative_path,evolution,status,sha256,visual_qa
B05-MEC,machine,aachat-level-05-b05-mec-cand-02-10-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-02-10-256.png,aachat-ascend-machine-unlinked-broadcast.png,B05-MEC__Machine/aachat-ascend-machine-unlinked-broadcast.png,broadcast,accepted,3718bdff2cf6d01efefbf3db75f0b9c93641540c753d884abe0e535800eca8db,pass
B05-MEC,machine,aachat-level-05-b05-mec-cand-02-19-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-02-19-256.png,aachat-ascend-machine-unlinked-boiler.png,B05-MEC__Machine/aachat-ascend-machine-unlinked-boiler.png,boiler,accepted,5d16606fff59e5cf7edb7682850ad1e8da49297b65be60b87dd336a5c1ca79d6,pass
B05-MEC,machine,aachat-level-05-b05-mec-cand-05-05-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-05-05-256.png,aachat-ascend-machine-unlinked-shutter.png,B05-MEC__Machine/aachat-ascend-machine-unlinked-shutter.png,shutter,accepted,48986be0fe3de431fb97696c33bf5aa6c4cd40d93299759afd9eef09f9a4fe9f,pass
B05-MEC,machine,aachat-level-05-b05-mec-cand-05-09-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-05-09-256.png,aachat-ascend-machine-unlinked-starlight.png,B05-MEC__Machine/aachat-ascend-machine-unlinked-starlight.png,starlight,accepted,cab1617d645b78cfaf482ab6fadb308abdad5fe2a11196970b0d208ae0e95815,pass
B05-MEC,machine,aachat-level-05-b05-mec-cand-05-15-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-05-15-256.png,aachat-ascend-machine-unlinked-clockwork.png,B05-MEC__Machine/aachat-ascend-machine-unlinked-clockwork.png,clockwork,accepted,b1941bc2ef991116bfffb05403c3752390581c338672b1083a681b8cdfc84151,pass
B05-MEC,machine,aachat-level-05-b05-mec-cand-06-05-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-06-05-256.png,aachat-ascend-machine-unlinked-spectrum.png,B05-MEC__Machine/aachat-ascend-machine-unlinked-spectrum.png,spectrum,accepted,cfbcb83d4415205c61961a75f44f02c9e819b4c34bd5316a09972e2ca1e9a0a7,pass
B05-MEC,machine,aachat-level-05-b05-mec-cand-06-17-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-06-17-256.png,aachat-ascend-machine-unlinked-aperture.png,B05-MEC__Machine/aachat-ascend-machine-unlinked-aperture.png,aperture,accepted,b09d0cd431eb74e4e88e26441836bad9c926022cbdc5501b11c0cf75fb71aff0,pass
B05-MEC,machine,aachat-level-05-b05-mec-cand-06-23-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-06-23-256.png,aachat-ascend-machine-unlinked-harbor.png,B05-MEC__Machine/aachat-ascend-machine-unlinked-harbor.png,harbor,accepted,2f54c08866330db92bc54cc555ecf7002b030502e2b78c294369640713063c87,pass
B05-MEC,machine,aachat-level-05-b05-mec-cand-07-14-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-07-14-256.png,aachat-ascend-machine-unlinked-tuner.png,B05-MEC__Machine/aachat-ascend-machine-unlinked-tuner.png,tuner,accepted,94cfea91aeea1cfeae621a32a9f48d04a58a9b0ef2c80bb42381dd55be4b4f2a,pass
B05-MEC,machine,aachat-level-05-b05-mec-cand-08-09-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-08-09-256.png,aachat-ascend-machine-unlinked-receiver.png,B05-MEC__Machine/aachat-ascend-machine-unlinked-receiver.png,receiver,accepted,1047ce9a30f5ee6670a60496ca9a51949fb1c8dfc0a24ed646bf98b1bb2014b8,pass
