origin_type,group,reference_filename,reference_relative_path,provisional_filename,provisional_relative_path,evolution,status,sha256,visual_qa
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-02-13-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-02-13-256.png,aachat-ascend-humanoid-unlinked-buccaneer.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-buccaneer.png,buccaneer,accepted,c28ab4d8b1e63c0eb8c8a9364821e3d5ac239aef09eed0c73ffe40b392a4d839,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-02-17-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-02-17-256.png,aachat-ascend-humanoid-unlinked-astronaut.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-astronaut.png,astronaut,accepted,ac2d1dd2c70f0fa2de421fe728c5e31f333edbc065d18b9054b0a8c85da6e768,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-02-20-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-02-20-256.png,aachat-ascend-humanoid-unlinked-shogun.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-shogun.png,shogun,accepted,636aaa0c734ed82785ed78e6a1a97fd58fe51331b2d5ab7d0470224508a86fd6,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-05-13-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-05-13-256.png,aachat-ascend-humanoid-unlinked-paladin.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-paladin.png,paladin,accepted,b18e7e6432cb3598af1571071a80b93d508a3a4adaecbe25763fc731a46deee8,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-05-18-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-05-18-256.png,aachat-ascend-humanoid-unlinked-daimyo.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-daimyo.png,daimyo,accepted,6364b8e67b4a32121e9fc3fce6cc479f8143105af042a25070bfe92618fc8a2c,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-06-11-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-06-11-256.png,aachat-ascend-humanoid-unlinked-warlord.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-warlord.png,warlord,accepted,0d1794c732078511d88f9ba5e868b7fc1d3ae1ba5ab964c20215e7407067c3dd,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-06-19-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-06-19-256.png,aachat-ascend-humanoid-unlinked-cosmonaut.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-cosmonaut.png,cosmonaut,accepted,1fc5f0b5ffec821c84e02986d553b58a4b2606f148932892cb907bfa083ffc0c,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-07-01-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-07-01-256.png,aachat-ascend-humanoid-unlinked-sorcerer.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-sorcerer.png,sorcerer,accepted,f27787f15a1ea539bb45cc1ba3cd86de56724c5923ad0becbc5c110ecae2385e,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-07-08-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-07-08-256.png,aachat-ascend-humanoid-unlinked-oni.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-oni.png,oni,accepted,843ab0cedb5b6bbf195bd590fbbc1b298d50a229d584e3507c2ff7046f41f0a7,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-07-11-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-07-11-256.png,aachat-ascend-humanoid-unlinked-lantern.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-lantern.png,lantern,accepted,ed03eef5eb2912208cede4830fd4e88a806b7685d794cb90a85dd68928435dbc,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-07-13-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-07-13-256.png,aachat-ascend-humanoid-unlinked-masquerade.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-masquerade.png,masquerade,accepted,b3715aa09d65caa5a0150836e649e2b5842d7250bd0ae17a2d0bb18867fc07ca,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-08-01-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-08-01-256.png,aachat-ascend-humanoid-unlinked-aquanaut.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-aquanaut.png,aquanaut,accepted,8e55e84c1db3dd8dfe386b87c959f3a9a2a5bfefa610cf4caf0d7c85dadab306,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-08-02-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-08-02-256.png,aachat-ascend-humanoid-unlinked-ninja.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-ninja.png,ninja,accepted,f1072a98e711fa54ad7eec185fb3b6f4789901d36b906bd37013705625792491,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-08-10-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-08-10-256.png,aachat-ascend-humanoid-unlinked-parka.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-parka.png,parka,accepted,a54e26c5eadca0d03b8285eeafddadddc3e2da86e0b44faf75cf2779dada6a39,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-08-16-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-08-16-256.png,aachat-ascend-humanoid-unlinked-moonwalker.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-moonwalker.png,moonwalker,accepted,3454b83f793f7b97149985ec0c641689175083c30bd040bcf7267f284e391c7b,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-08-18-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-08-18-256.png,aachat-ascend-humanoid-unlinked-cauldron.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-cauldron.png,cauldron,accepted,70b1b0f68927942ec4b63ee8d40998844dea30f51582950610ecbc1834165ea8,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-09-14-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-09-14-256.png,aachat-ascend-humanoid-unlinked-voyager.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-voyager.png,voyager,accepted,bd5e77991abbf4109b1bb45d22938f614506d695b6f0f4be57fcd5e07f863691,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-09-18-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-09-18-256.png,aachat-ascend-humanoid-unlinked-reliquary.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-reliquary.png,reliquary,accepted,f144e581a8444fdc228d94d6fc42d6028d3872d0eb2700fc23bf2a49b2cd2f24,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-10-01-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-10-01-256.png,aachat-ascend-humanoid-unlinked-nocturne.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-nocturne.png,nocturne,accepted,9b616e254d9999f251bb0a46d94c62edc162d3d5ff7e725350af4a27c22a7509,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-10-02-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-10-02-256.png,aachat-ascend-humanoid-unlinked-seraph.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-seraph.png,seraph,accepted,7db65335a9cd31f92b794e438b9e59eefe268a3b0a9dbf4efee4bb4c2e16b54b,pass
B01-HUM,humanoid,aachat-level-05-b01-hum-cand-10-03-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-10-03-256.png,aachat-ascend-humanoid-unlinked-onyx.png,B01-HUM__Humanoid/aachat-ascend-humanoid-unlinked-onyx.png,onyx,accepted,0485fc0f50e42a52f93ad375d4cbe6f49a6fc79de04a723ae6d28f3ba2f0974f,pass
